Link,Volume Text
 Willard McCarty Tue, 31 Jan 89 20:37:39 EST

 Aarseth's Paradigma, cont. (29)

 Willard McCarty Mon, 20 Feb 89 18:41:26 EST

 about Humanist (40)

 Willard McCarty Mon, 30 Jan 89 20:57:27 EST

 about what we have and would like to have, cont. (97)

 Willard McCarty Thu, 13 Apr 89 19:12:29 EDT

 academic WYSIWYG (23)

 Willard McCarty Thu, 27 Apr 89 20:47:57 EDT

 academic wysiwyg clarified (24)

 Willard McCarty Mon, 1 May 89 20:30:05 EDT

 academic wysiwyg, cont. (74)

 Willard McCarty Sun, 30 Apr 89 19:29:58 EDT

 academic wysiwyg, cont. (93)

 Willard McCarty Sat, 29 Apr 89 00:50:41 EDT

 ACL conference programme (31)

 Willard McCarty Mon, 3 Apr 89 20:51:52 EDT

 addresses needed (39)

 Willard McCarty Thu, 13 Apr 89 19:06:58 EDT

 Africaans; Borges; OCP (81)

 Willard McCarty Tue, 21 Mar 89 17:55:53 EST

 Africaans? Greek fonts? telecommunications? (79)

 Willard McCarty Mon, 13 Mar 89 19:40:24 EST

 AI conferences; new topical collection (139)

 Willard McCarty Thu, 16 Mar 89 00:04:10 EST

 AI Symposium (41)

 Willard McCarty Wed, 4 Jan 89 20:28:09 EST

 ALLC/ICCH conference, summary announcement (339)

 Willard McCarty Thu, 23 Feb 89 15:22:33 EST

 alpabetized list of Humanists (420)

 Willard McCarty Thu, 16 Mar 89 18:37:54 EST

 ancient philosophers? Arabic on Macs? Tony Smith? (78)

 Willard McCarty Thu, 23 Feb 89 00:21:38 EST

 Announcements (100)

 Willard McCarty Thu, 19 Jan 89 21:36:33 EST

 announcements (107)

 Willard McCarty Mon, 30 Jan 89 20:59:56 EST

 Announcements (133)

 Willard McCarty Tue, 7 Feb 89 19:30:49 EST

 announcements (151)

 Willard McCarty Thu, 12 Jan 89 19:48:55 EST

 Announcements (155)

 Willard McCarty Sun, 22 Jan 89 17:47:09 EST

 announcements (168)

 Willard McCarty Mon, 20 Feb 89 18:46:41 EST

 Announcements (199)

 Willard McCarty Tue, 24 Jan 89 19:14:53 EST

 announcements (214)

 Willard McCarty Tue, 14 Mar 89 20:00:11 EST

 announcements (218)

 Willard McCarty Tue, 25 Apr 89 22:43:40 EDT

 announcements (257)

 Willard McCarty Wed, 15 Feb 89 21:05:59 EST

 announcements (39)

 Willard McCarty Wed, 12 Apr 89 21:02:59 EDT

 announcements (52)

 Willard McCarty Thu, 23 Mar 89 19:45:43 EST

 announcements (62)

 Willard McCarty Sun, 2 Apr 89 14:02:32 EDT

 Anyone in Basel or Zurich? (22)

 Willard McCarty Mon, 16 Jan 89 20:32:06 EST

 archaeologists? languages? (46)

 Willard McCarty Mon, 3 Apr 89 20:50:26 EDT

 ARTFL; CNRS; communications software (74)

 Willard McCarty Wed, 5 Apr 89 20:10:32 EDT

 ASTRA (313)

 Willard McCarty Thu, 12 Jan 89 20:00:27 EST

 author

 Willard McCarty Fri, 3 Mar 89 22:11:17 EST

 Author? author? (89)

 Willard McCarty Wed, 1 Mar 89 19:59:22 EST

 B-testers for Hebrew AskSam? (19)

 Willard McCarty Sat, 11 Feb 89 16:33:51 EST

 Belgian medieval data (20)

 Willard McCarty Mon, 20 Mar 89 21:08:18 EST

 Belgian medieval data? (33)

 Willard McCarty Tue, 14 Mar 89 20:04:41 EST

 Bible for Macs; Sanskrit wordprocessing (65)

 Willard McCarty Thu, 20 Apr 89 00:09:16 EDT

 bibliography database? emblem conference? (60)

 Willard McCarty Thu, 23 Mar 89 19:50:30 EST

 Biographies, 15th supplement (961)

 Willard McCarty Wed, 4 Jan 89 23:01:44 EST

 biographies, 16th suppl. (691)

 Willard McCarty Thu, 26 Jan 89 21:40:07 EST

 biographies, 17th supplement (778)

 Willard McCarty Sat, 25 Feb 89 18:14:15 EST

 book on unix; COLING-90 (125)

 Willard McCarty Tue, 4 Apr 89 18:14:18 EDT

 Brit Software? (17)

 Willard McCarty Sun, 22 Jan 89 17:48:18 EST

 Brown Corpus? Dubliners? (46)

 Willard McCarty Thu, 5 Jan 89 19:12:16 EST

 C++ and Gnu for PCs (23)

 Willard McCarty Tue, 3 Jan 89 19:09:45 EST

 CAI for composition (22)

 Willard McCarty Thu, 9 Mar 89 20:28:57 EST

 CALL conference update (42)

 Willard McCarty Sun, 23 Apr 89 20:24:54 EDT

 call for papers; conference announced (155)

 Willard McCarty Sun, 15 Jan 89 19:32:57 EST

 call for papers; Missouri Review Online (81)

 Willard McCarty Sat, 11 Mar 89 00:58:40 EST

 call for papers; newsletter (63)

 Willard McCarty Thu, 23 Feb 89 00:18:35 EST

 Call for reviewers (92)

 Willard McCarty Tue, 10 Jan 89 20:27:51 EST

 CALL survey (22)

 Willard McCarty Mon, 20 Mar 89 21:01:01 EST

 CALL survey (54)

 Willard McCarty Fri, 17 Mar 89 23:02:25 EST

 CALL survey, cont. (38)

 Willard McCarty Tue, 21 Mar 89 18:03:06 EST

 CALL? e-mail? Locke? (75)

 Willard McCarty Thu, 27 Apr 89 20:41:06 EDT

 calls for reviewers (82)

 Willard McCarty Wed, 8 Mar 89 19:49:24 EST

 categorization and allusion (238)

 Willard McCarty Wed, 22 Mar 89 20:08:29 EST

 CD-ROM of biblical texts for Mac? (21)

 Willard McCarty Tue, 18 Apr 89 20:26:23 EDT

 censoring, editing, and volume of mail (179)

 Willard McCarty Wed, 29 Mar 89 20:04:49 EST

 censoring, editing, and volume of mail, cont. (224)

 Willard McCarty Thu, 30 Mar 89 20:59:44 EST

 censorship and editorial control (237)

 Willard McCarty Sun, 19 Mar 89 18:20:53 EST

 censorship of bbs (133)

 Willard McCarty Thu, 2 Mar 89 20:22:40 EST

 Chicago? musical scanning? centres? (68)

 Willard McCarty Thu, 6 Apr 89 19:24:50 EDT

 CLV and CAV video disks (26)

 Willard McCarty Thu, 23 Feb 89 00:25:29 EST

 coding ""strange"" languages (37)

 Willard McCarty Wed, 12 Apr 89 20:52:12 EDT

 coding Sanskrit (devanagari), cont. (20)

 Willard McCarty Mon, 17 Apr 89 18:54:28 EDT

 coding Sanskrit, cont. (33)

 Willard McCarty Thu, 27 Apr 89 20:43:42 EDT

 coding strange languages, cont. (184)

 Willard McCarty Thu, 13 Apr 89 19:08:33 EDT

 CoLing 1990 (44)

 Willard McCarty Fri, 17 Feb 89 22:02:58 EST

 CompLit programs; software for the deaf (73)

 Willard McCarty Wed, 26 Apr 89 20:16:12 EDT

 Computer Professionals for Social Responsibility (31)

 Willard McCarty Mon, 24 Apr 89 21:32:21 EDT

 computing centres, cont. (36)

 Willard McCarty Mon, 24 Apr 89 21:30:57 EDT

 conference (62)

 Willard McCarty Wed, 11 Jan 89 19:51:41 EST

 conference announcements (45)

 Willard McCarty Sat, 18 Mar 89 17:36:15 EST

 conference panel (32)

 Willard McCarty Mon, 16 Jan 89 20:30:40 EST

 conference; jobs (123)

 Willard McCarty Wed, 22 Mar 89 20:10:04 EST

 conferences (99)

 Willard McCarty Tue, 17 Jan 89 23:45:37 EST

 Corre? CD-ROM board? Ibycus? (63)

 Willard McCarty Wed, 22 Mar 89 20:12:13 EST

 corrected CATH88 report (308)

 Willard McCarty Sun, 15 Jan 89 19:34:41 EST

 Current Contents (19)

 Willard McCarty Fri, 3 Mar 89 22:19:31 EST

 database management software (60)

 Willard McCarty Fri, 27 Jan 89 21:46:58 EST

 database management software, cont. (14)

 Willard McCarty Thu, 26 Jan 89 19:01:34 EST

 database management software, cont. (19)

 Willard McCarty Sun, 5 Feb 89 17:25:39 EST

 database management software, cont. (25)

 Willard McCarty Sun, 29 Jan 89 18:26:39 EST

 database management systems, and a ? Strong One (77)

 Willard McCarty Tue, 28 Mar 89 20:59:19 EST

 database management systems, cont. (19)

 Willard McCarty Sun, 26 Mar 89 17:49:26 EST


 Willard McCarty Tue, 14 Feb 89 20:20:44 EST


 Willard McCarty Tue, 31 Jan 89 20:36:00 EST

 database management systems, cont. (35)

 Willard McCarty Mon, 30 Jan 89 21:01:21 EST

 database management systems, cont. (40)

 Willard McCarty Mon, 13 Feb 89 20:01:22 EST

 database management systems, cont. (48)

 Willard McCarty Thu, 30 Mar 89 21:01:08 EST

 database management systems, cont. (55)

 Willard McCarty Thu, 9 Feb 89 21:57:02 EST

 database management systems, cont. (74)

 Willard McCarty Fri, 10 Feb 89 22:43:53 EST

 database management systems, cont. (78)

 Willard McCarty Wed, 15 Feb 89 21:01:15 EST

 database management, cont. (267)

 Willard McCarty Sat, 25 Mar 89 00:33:19 EST

 database software (19)

 Willard McCarty Tue, 24 Jan 89 19:20:51 EST

 database software, cont. (16)

 Willard McCarty Wed, 25 Jan 89 17:31:13 EST

 database software? (27)

 Willard McCarty Mon, 23 Jan 89 18:59:41 EST

 David Mealand? parsed Hebrew and LXX Bibles? (45)

 Willard McCarty Wed, 5 Apr 89 19:59:57 EDT

 dbms and exotica? (33)

 Willard McCarty Wed, 1 Feb 89 19:07:25 EST

 device-driver? e-Beckett? (42)

 Willard McCarty Tue, 14 Feb 89 20:22:31 EST

 discussions of music (62)

 Willard McCarty Fri, 24 Feb 89 22:05:22 EST

 e-Blake; fees for e-texts? (29)

 Willard McCarty Thu, 26 Jan 89 19:05:31 EST

 e-mail (37)

 Willard McCarty Mon, 10 Apr 89 19:16:05 EDT

 e-mail problems and their solutions (62)

 Willard McCarty Fri, 10 Feb 89 22:49:51 EST

 e-mail problems, cont. (67)

 Willard McCarty Mon, 13 Feb 89 19:57:23 EST

 e-mail to the Near East (122)

 Willard McCarty Thu, 20 Apr 89 20:04:10 EDT

 e-mail: some suggestions (136)

 Willard McCarty Thu, 12 Jan 89 19:42:31 EST

 E-publishing conference; hypertext (111)

 Willard McCarty Sun, 8 Jan 89 19:26:19 EST

 e-texts and libraries; French dictionary (135)

 Willard McCarty Thu, 30 Mar 89 20:55:43 EST

 editing and censoring, cont. (122)

 Willard McCarty Mon, 20 Mar 89 21:06:56 EST

 editing and censoring, cont. (138)

 Willard McCarty Wed, 22 Mar 89 20:43:45 EST

 editing and censoring, cont. (55)

 Willard McCarty Sun, 26 Mar 89 17:47:51 EST

 editing and censoring, cont. (71)

 Willard McCarty Thu, 23 Mar 89 19:51:53 EST

 editing and censoring, cont. (74)

 Willard McCarty Tue, 28 Mar 89 20:46:01 EST

 editorial ramblings (39)

 Willard McCarty Sun, 5 Feb 89 17:21:55 EST

 electronic Blake (57)

 Willard McCarty Wed, 25 Jan 89 17:38:01 EST

 electronic Blake? (25)

 Willard McCarty Tue, 24 Jan 89 19:19:40 EST

 electronic communications (44)

 Willard McCarty Tue, 11 Apr 89 20:14:39 EDT

 electronic communications, cont. (70)

 Willard McCarty Sat, 22 Apr 89 22:28:41 EDT

 electronic journals and mail, cont. (67)

 Willard McCarty Mon, 17 Apr 89 18:53:04 EDT

 electronic Shakespeare (34)

 Willard McCarty Wed, 1 Mar 89 19:53:41 EST

 electronic Shakespeare, cont. (30)

 Willard McCarty Tue, 14 Mar 89 20:06:04 EST

 electronic Shakespeare, cont. (47)

 Willard McCarty Wed, 22 Mar 89 20:14:02 EST

 electronic texts and libraries (129)

 Willard McCarty Sat, 18 Mar 89 17:37:52 EST

 electronic texts, cont. (119)

 Willard McCarty Sun, 2 Apr 89 13:55:24 EDT

 Esperanto; aficionados of hypertext (70)

 Willard McCarty Fri, 24 Feb 89 22:08:25 EST

 Etruscan, and other matters unrelated (66)

 Willard McCarty Tue, 7 Mar 89 19:13:42 EST

 file conversion? ARTFL? modem support? (57)

 Willard McCarty Tue, 4 Apr 89 18:08:37 EDT

 finding Tony Smith (29)

 Willard McCarty Fri, 24 Feb 89 22:13:19 EST

 fonts? Bible aids? (58)

 Willard McCarty Mon, 1 May 89 20:34:23 EDT


 Willard McCarty Mon, 1 May 89 20:34:23 EDT

 French dictionary? (21)

 Willard McCarty Tue, 28 Mar 89 20:57:41 EST

 French or American revolution, cont. (36)

 Willard McCarty Sun, 30 Apr 89 19:31:14 EDT

 future of computing; centres for computing (73)

 Willard McCarty Sat, 15 Apr 89 20:56:48 EDT

 getting Aarseth's program (27)

 Willard McCarty Tue, 7 Feb 89 19:35:04 EST

 GNU users? (16)

 Willard McCarty Mon, 13 Feb 89 20:00:12 EST

 grading? fonts? (52)

 Willard McCarty Sun, 2 Apr 89 13:56:53 EDT

 Gramcord, Ibycus, French Bibles (41)

 Willard McCarty Mon, 13 Mar 89 19:43:32 EST

 Greek fonts for LaTeX (20)

 Willard McCarty Mon, 16 Jan 89 20:33:17 EST

 Greek? Long e-mail addresses? (68)

 Willard McCarty Tue, 7 Feb 89 19:28:06 EST

 Gremlins in e-mail to OCP (22)

 Willard McCarty Mon, 6 Feb 89 20:08:17 EST

 Has anyone seen the future, and does it work? (35)

 Willard McCarty Tue, 11 Apr 89 20:23:34 EDT

 HCY 1988 in print (27)

 Willard McCarty Fri, 13 Jan 89 22:37:03 EST

 Help for learning Bitnet (33)

 Willard McCarty Tue, 24 Jan 89 19:18:16 EST

 historia mundi discipulorum (340)

 Willard McCarty Sat, 25 Feb 89 18:23:05 EST

 historical simulations, cont. (60)

 Willard McCarty Sat, 11 Feb 89 16:32:39 EST

 history program? Hamlet or Lear? (85)

 Willard McCarty Thu, 9 Feb 89 22:01:02 EST

 history rather than policy (224)

 Willard McCarty Sat, 25 Mar 89 00:31:00 EST

 how to handle peripheral topics (101)

 Willard McCarty Mon, 27 Mar 89 20:44:47 EST

 Humanists on GulfNet and elsewhere in the Near East? (25)

 Willard McCarty Sun, 16 Apr 89 21:16:37 EDT

 humanities computing (22)

 Willard McCarty Tue, 21 Feb 89 19:41:59 EST

 humanities computing centres and courses, cont. (83)

 Willard McCarty Fri, 14 Apr 89 22:47:08 EDT

 humanities computing centres and programmes, cont. (133)

 Willard McCarty Thu, 13 Apr 89 19:14:00 EDT

 humanities computing centres, cont. (19)

 Willard McCarty Wed, 12 Apr 89 21:04:13 EDT

 humanities computing centres, cont. (218)

 Willard McCarty Fri, 7 Apr 89 20:29:25 EDT

 humanities computing centres, cont. (32)

 Willard McCarty Tue, 11 Apr 89 20:18:34 EDT

 humanities computing centres, cont. (55)

 Willard McCarty Fri, 21 Apr 89 22:43:15 EDT

 humanities computing centres: a typology (77)

 Willard McCarty Tue, 18 Apr 89 20:24:51 EDT

 humanities computing, cont. (31)

 Willard McCarty Thu, 23 Feb 89 20:57:00 EST

 humanities computing, cont. (69)

 Willard McCarty Thu, 23 Feb 89 00:23:46 EST

 humanities computing: careers and centres (58)

 Willard McCarty Thu, 20 Apr 89 00:07:18 EDT

 Humbul (89)

 Willard McCarty Wed, 1 Feb 89 19:16:29 EST

 hyperBlake (22)

 Willard McCarty Wed, 8 Feb 89 23:38:37 EST

 hypermedia in libraries? (32)

 Willard McCarty Wed, 26 Apr 89 20:17:50 EDT

 Ibycus in Europe; DOS 4; program update (55)

 Willard McCarty Wed, 29 Mar 89 20:01:54 EST

 if you please (25)

 Willard McCarty Sun, 23 Apr 89 20:44:35 EDT

 IJCAI? OCR software? Australia? (84)

 Willard McCarty Fri, 17 Mar 89 22:58:37 EST

 ImageWriter device drivers, cont. (62)

 Willard McCarty Mon, 20 Feb 89 18:49:44 EST

 Info-Mac and Aarseth's program (43)

 Willard McCarty Thu, 9 Feb 89 22:04:44 EST

 Info-Mac, cont. (25)

 Willard McCarty Wed, 8 Feb 89 23:36:14 EST

 intellectual property (246)

 Willard McCarty Mon, 6 Feb 89 20:04:37 EST

 intellectual property at Yale (100)

 Willard McCarty Thu, 16 Mar 89 00:11:23 EST

 Intermedia; HumBul (213)

 Willard McCarty Wed, 26 Apr 89 20:14:29 EDT

 introduction to SGML? (34)

 Willard McCarty Tue, 7 Mar 89 19:18:50 EST

 introductory reading for computing humanists (31)

 Willard McCarty Mon, 13 Mar 89 19:34:45 EST

 IPA alphabet (25)

 Willard McCarty Fri, 6 Jan 89 19:04:17 EST

 IPA fonts (19)

 Willard McCarty Sun, 8 Jan 89 19:30:20 EST

 ISAAC (23)

 Willard McCarty Fri, 3 Feb 89 23:05:10 EST

 ISAAC and CHAMAS? REFLIST?

 Willard McCarty Sun, 19 Feb 89 18:55:51 EST

 ISAAC? China? Latin elegy? (94)

 Willard McCarty Thu, 2 Feb 89 20:06:45 EST

 IZE, cont. (29)

 Willard McCarty Wed, 4 Jan 89 20:27:02 EST

 JANET addresses (28)

 Willard McCarty Mon, 6 Feb 89 20:06:50 EST

 Jean Talon Project (24)

 Willard McCarty Thu, 9 Feb 89 21:58:25 EST

 Jean Talon project, cont. (18)

 Willard McCarty Mon, 13 Feb 89 19:54:12 EST

 Jean Talon? VAX via Hypercard? (49)

 Willard McCarty Wed, 8 Feb 89 23:34:51 EST

 Jerome; Yugoslavia (53)

 Willard McCarty Fri, 21 Apr 89 22:44:57 EDT

 job advert (35)

 Willard McCarty Mon, 6 Feb 89 19:54:09 EST

 job advert (39)

 Willard McCarty Wed, 1 Feb 89 19:18:11 EST

 Jon Bing? Norwegian Computers and Law? (22)

 Willard McCarty Tue, 21 Mar 89 17:58:12 EST

 Kant auf Deutsch (41)

 Willard McCarty Wed, 11 Jan 89 19:53:39 EST

 Kant? Duke Tools? Darwino-Calvinism? (62)

 Willard McCarty Mon, 9 Jan 89 19:26:58 EST

 Kermit documents (49)

 Willard McCarty Mon, 6 Feb 89 19:53:03 EST

 koine Greek? MESA? (69)

 Willard McCarty Sat, 25 Feb 89 18:18:37 EST

 Latin software, cont. (25)

 Willard McCarty Sat, 11 Mar 89 01:09:41 EST

 Latin texts and tools (63)

 Willard McCarty Wed, 8 Mar 89 19:36:31 EST

 Latin texts, cont. (32)

 Willard McCarty Mon, 27 Mar 89 20:14:38 EST

 Latin texts, cont. (40)

 Willard McCarty Thu, 30 Mar 89 20:57:15 EST

 Latin texts, cont. (83)

 Willard McCarty Mon, 13 Mar 89 19:36:18 EST

 LCD projectors, cont. (37)

 Willard McCarty Wed, 8 Mar 89 19:39:18 EST

 learning strategies and motivations? (28)

 Willard McCarty Thu, 20 Apr 89 00:13:48 EDT

 list of archives (314)

 Willard McCarty Fri, 17 Mar 89 23:04:04 EST

 ListServ lists for humanists (25)

 Willard McCarty Wed, 1 Feb 89 19:19:54 EST

 logical/mathematical characters for PCs (114)

 Willard McCarty Mon, 9 Jan 89 19:24:12 EST

 logo, with subtext (35)

 Willard McCarty Tue, 7 Mar 89 19:15:54 EST

 lost mail on e-language? (35)

 Willard McCarty Fri, 21 Apr 89 22:41:10 EDT

 Lotus Agenda reviewed (81)

 Willard McCarty Mon, 24 Apr 89 21:29:33 EDT

 Luther? Exams? Ringing the changes? (67)

 Willard McCarty Mon, 20 Feb 89 18:43:48 EST

 Mac IIcx; workshop (152)

 Willard McCarty Thu, 30 Mar 89 20:50:09 EST

 Mac mapmaking (26)

 Willard McCarty Thu, 13 Apr 89 19:10:27 EDT

 Mac's operating system, cont. (80)

 Willard McCarty Sun, 16 Apr 89 21:20:04 EDT

 MacII CALL? (28)

 Willard McCarty Wed, 25 Jan 89 17:32:58 EST

 Macs in the UK (25)

 Willard McCarty Thu, 19 Jan 89 21:39:10 EST

 Macs on foreign power, cont. (19)

 Willard McCarty Mon, 23 Jan 89 19:01:26 EST

 Macs on non-native power (77)

 Willard McCarty Fri, 20 Jan 89 23:17:03 EST

 makmaking, cont. (18)

 Willard McCarty Tue, 25 Apr 89 22:48:47 EDT

 map making? classical text-analysis? printers? (75)

 Willard McCarty Mon, 10 Apr 89 19:14:03 EDT

 map-making (102)

 Willard McCarty Wed, 12 Apr 89 21:00:56 EDT

 maps: say again, please (28)

 Willard McCarty Sat, 15 Apr 89 20:55:07 EDT

 Markup: apparatus, cont. (36)

 Willard McCarty Wed, 8 Mar 89 19:45:36 EST

 Markup: encoding variants (44)

 Willard McCarty Thu, 16 Mar 89 00:02:25 EST

 Markup: footnotes and apparatus (238)

 Willard McCarty Mon, 6 Mar 89 19:47:55 EST

 Markup: footnotes and apparatus, cont. (129)

 Willard McCarty Tue, 7 Mar 89 19:22:13 EST

 Markup: SGML, cont. (20)

 Willard McCarty Sat, 11 Mar 89 01:07:20 EST

 Markup: SGML, cont. (31)

 Willard McCarty Sun, 12 Mar 89 23:49:28 EST

 Markup: SGML, cont. (73)

